Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Proportion of the population with access to electricity,Units
2000,11,%
2001,15,%
2002,17,%
2003,18,%
2004,19,%
2005,20.99,%
2006,23,%
2007,23.99,%
2008,25,%
2009,28,%
2010,30,%
2011,31.99,%
2012,34.99,%
2013,37,%
2014,41,%
2015,47,%
2016,51.99,%
2017,58.99,%
2018,64.99,%
2019,69,%
2020,70.99,%
2021,72,%
2022,75,%
2023,79.1,%
2024,81.3,%
2025,83.49,%
2026,85.69,%
2027,87.9,%
2028,90.1,%
2029,92.29,%
2030,94.49,%
2031,100,%
2032,100,%
2033,100,%
2034,100,%
2035,100,%
2036,100,%
2037,100,%
2038,100,%
2039,100,%
2040,100,%
2041,100,%
2042,100,%
2043,100,%
2044,100,%
2045,100,%
2046,100,%
2047,100,%
2048,100,%
2049,100,%
2050,100,%
