Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Proportion of the population with access to electricity,Units
2000,8,%
2001,8.2,%
2002,8.3,%
2003,11.7,%
2004,15,%
2005,15,%
2006,15.5,%
2007,16,%
2008,17.39,%
2009,17.9,%
2010,18.4,%
2011,18.9,%
2012,20.2,%
2013,21.6,%
2014,22.9,%
2015,24.2,%
2016,25.5,%
2017,26.8,%
2018,28.09,%
2019,29.4,%
2020,30.7,%
2021,31.99,%
2022,31.99,%
2023,33,%
2024,34.29,%
2025,35.6,%
2026,36.89,%
2027,38.2,%
2028,39.5,%
2029,40.79,%
2030,42.1,%
2031,42.89,%
2032,43.7,%
2033,44.49,%
2034,45.3,%
2035,46,%
2036,46.79,%
2037,47.6,%
2038,48.4,%
2039,49.2,%
2040,50,%
2041,50.7,%
2042,51.49,%
2043,52.3,%
2044,53.1,%
2045,53.89,%
2046,54.69,%
2047,55.4,%
2048,56.19,%
2049,56.99,%
2050,57.8,%
