Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Proportion of the population with access to electricity,Units
2000,3.7,%
2001,3.9,%
2002,4,%
2003,6.5,%
2004,8.9,%
2005,9.7,%
2006,10.5,%
2007,11.3,%
2008,12.2,%
2009,13,%
2010,13.8,%
2011,14.7,%
2012,15.7,%
2013,16.59,%
2014,17.5,%
2015,18.5,%
2016,19.4,%
2017,22.49,%
2018,25.5,%
2019,28.79,%
2020,30,%
2021,30.1,%
2022,30.89,%
2023,32.9,%
2024,34.4,%
2025,36,%
2026,37.5,%
2027,39.1,%
2028,40.59,%
2029,42.19,%
2030,43.79,%
2031,45.19,%
2032,46.59,%
2033,47.99,%
2034,49.5,%
2035,50.9,%
2036,52.3,%
2037,53.7,%
2038,55.19,%
2039,56.59,%
2040,57.99,%
2041,59.39,%
2042,60.9,%
2043,62.3,%
2044,63.7,%
2045,65.2,%
2046,66.6,%
2047,68,%
2048,69.4,%
2049,70.89,%
2050,72.29,%
