Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Proportion of the population with access to electricity,Units
2000,10.5,%
2001,9.9,%
2002,10,%
2003,10.1,%
2004,11,%
2005,11.6,%
2006,12.4,%
2007,13.2,%
2008,14,%
2009,16,%
2010,18,%
2011,20,%
2012,22,%
2013,23.99,%
2014,25.99,%
2015,30,%
2016,32.69,%
2017,31.99,%
2018,34.99,%
2019,38,%
2020,38,%
2021,38,%
2022,38.4,%
2023,39.89,%
2024,41.9,%
2025,43.9,%
2026,45.89,%
2027,47.9,%
2028,49.9,%
2029,51.89,%
2030,53.89,%
2031,54.9,%
2032,55.9,%
2033,56.9,%
2034,57.9,%
2035,58.89,%
2036,59.89,%
2037,60.9,%
2038,61.9,%
2039,62.9,%
2040,63.9,%
2041,64.89,%
2042,65.89,%
2043,66.9,%
2044,67.9,%
2045,68.9,%
2046,69.9,%
2047,70.89,%
2048,71.89,%
2049,72.89,%
2050,73.9,%
