Data Source,World Development Indicators,Access to electricity, rural (% of rural population);;;;
Last Updated Date,2024-10-24,;;;;
;;;;
;;;;
;Kenya;Madagascar;Tanzania;Uganda
2000;6.6;;1.7;1.6
2001;8.3;4.5;2.5;2.3
2002;10;;3.2;2
2003;6.9;7.7;3.2;4.1
2004;13.4;0.9;2.6;4.9
2005;15.1;1;4.9;0.7
2006;16.9;1.2;5.5;2.1
2007;18.6;1.3;6;7.4
2008;20.4;1.4;1;8.3
2009;10.1;;;1.9
2010;7.2;;2.5;3.5
2011;25.7;;2.6;4.5
2012;27.5;;2.3;11.7
2013;29.3;;1.7;2.8
2014;25.1;1.7;10;11.9
2015;29;1.7;11.3;9
2016;42.1;;17.3;17.7
2017;45.8;;16;23
2018;51.6;16;18.1;32.5
2019;61.7;13;19;31.8
2020;62.7;6.7;22;32.8
2021;68.2;10.9;23.3;35.9
2022;65.6;10.9;36;35.9
