Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil,Biofuels,Hydro,Geothermal,Wind,Solar PV,Units
1990,231,201,2477,326,,,GWh
1991,160,207,2770,297,,,GWh
1992,147,214,2796,272,,,GWh
1993,131,220,2993,272,,,GWh
1994,210,122,3068,261,,,GWh
1995,416,146,3163,390,,,GWh
1996,406,149,3354,393,,,GWh
1997,744,143,3259,366,,,GWh
1998,832,150,3274,390,,,GWh
1999,1489,142,2435,383,,,GWh
2000,2124,133,1325,429,,,GWh
2001,1508,115,2403,480,,,GWh
2002,1022,145,3119,386,,,GWh
2003,920,135,3433,498,,,GWh
2004,1038,150,3169,987,,,GWh
2005,1506,163,3039,1002,,,GWh
2006,1819,162,3025,1046,,,GWh
2007,1736,176,3592,989,,,GWh
2008,2145,168,3267,1039,,,GWh
2009,2997,279,2160,1293,7,,GWh
2010,2586,270,3224,1057,17,3,GWh
2011,2801,270,3183,1444,18,6,GWh
2012,2200,258,3977,1516,14,12,GWh
2013,2162,271,4386,1781,15,27,GWh
2014,2585,220,3411,2917,17,49,GWh
2015,1412,230,3464,4521,60,50,GWh
2016,1470,229,3960,4484,56,60,GWh
2017,2534,156,2776,4756,61,73,GWh
2018,1545,169,3986,5127,374,89,GWh
2019,1313,148,3205,5234,1562,92,GWh
2020,754,218,4232,5059,1331,88,GWh
2021,1262,250,3675,5037,1984,167,GWh
2022,1584,264,3039,5517,2143,383,GWh
2023,1305,199,2666,6032,2008,491,GWh
