Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil,Biofuels,Hydro,Coal,Solar PV,Units
1990,139,10,341,,,GWh
1991,137,10,336,,,GWh
1992,171,12,335,,,GWh
1993,150,12,383,,,GWh
1994,157,12,389,,,GWh
1995,163,16,411,,,GWh
1996,120,18,442,,,GWh
1997,127,18,489,,,GWh
1998,155,16,511,,,GWh
1999,205,12,515,,,GWh
2000,239,12,540,,,GWh
2001,269,10,564,,,GWh
2002,244,10,535,,,GWh
2003,286,8,612,,,GWh
2004,347,4,637,,,GWh
2005,341,6,648,,,GWh
2006,366,6,638,,,GWh
2007,332,4,719,,,GWh
2008,404,2,700,,,GWh
2009,362,2,740,,,GWh
2010,479,12,711,,,GWh
2011,577,15,690,111,,GWh
2012,595,15,755,398,,GWh
2013,614,17,809,480,,GWh
2014,604,20,884,526,,GWh
2015,607,15,936,557,,GWh
2016,645,20,647,529,,GWh
2017,961,25,788,513,0,GWh
2018,892,25,971,457,15,GWh
2019,1039,24,889,478,32,GWh
2020,1066,24,817,208,33,GWh
2021,1222,24,767,467,36,GWh
2022,1203,24,822,509,53,GWh
