Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil,Biofuels,Hydro,Solar PV,Units
1990,5,12,769,,GWh
1991,5,17,829,,GWh
1992,5,19,890,,GWh
1993,6,19,1012,,GWh
1994,5,19,1052,,GWh
1995,5,23,1092,,GWh
1996,5,29,1165,,GWh
1997,5,33,1253,,GWh
1998,6,32,1268,,GWh
1999,6,29,1377,,GWh
2000,6,30,1551,,GWh
2001,6,31,1546,1,GWh
2002,6,37,1668,2,GWh
2003,6,43,1752,2,GWh
2004,2,47,1888,3,GWh
2005,68,47,1839,4,GWh
2006,377,49,1161,8,GWh
2007,541,47,1398,11,GWh
2008,618,76,1631,17,GWh
2009,899,124,1396,21,GWh
2010,1131,117,1485,22,GWh
2011,1056,83,1531,24,GWh
2012,320,130,2453,25,GWh
2013,37,173,2865,27,GWh
2014,127,243,2874,29,GWh
2015,117,353,3092,32,GWh
2016,113,363,3303,39,GWh
2017,109,206,3442,61,GWh
2018,310,279,3640,70,GWh
2019,139,271,4035,119,GWh
2020,119,259,4080,128,GWh
2021,127,367,4640,140,GWh
2022,151,500,4977,146,GWh
