Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Oil,Hydro,Coal,Biofuels,Natural gas,Solar PV,Units
1990,79,1549,,,,,GWh
1991,96,1726,,,,,GWh
1992,166,1650,,,,,GWh
1993,181,1697,32,,,,GWh
1994,217,1499,65,,,,GWh
1995,310,1539,75,,,,GWh
1996,211,1748,67,,,,GWh
1997,429,1449,41,,,,GWh
1998,25,2078,47,,,,GWh
1999,89,2162,56,,,,GWh
2000,270,2135,67,31,,,GWh
2001,55,2640,90,35,,,GWh
2002,1,2720,105,40,,,GWh
2003,37,2549,73,46,,,GWh
2004,881,2011,86,46,360,,GWh
2005,587,1778,41,53,1149,,GWh
2006,686,1436,24,57,1301,,GWh
2007,484,2524,36,56,1138,,GWh
2008,326,2649,19,57,1392,,GWh
2009,110,2640,,62,1986,,GWh
2010,197,2701,,69,2351,,GWh
2011,486,1993,,70,2610,1,GWh
2012,850,1767,,63,2980,2,GWh
2013,1276,1717,,69,2912,7,GWh
2014,963,2590,,64,2626,20,GWh
2015,1480,2108,,64,2863,23,GWh
2016,254,2366,,69,4097,22,GWh
2017,294,2349,,72,4322,23,GWh
2018,119,2234,,65,4869,30,GWh
2019,82,2477,,73,5114,27,GWh
2020,81,3139,,73,4509,30,GWh
2021,96,3086,,73,5363,30,GWh
2022,24,2820,,73,6676,30,GWh
