Source: IEA Renewables Information https://www.iea.org/data-and-statistics/data-product/renewables-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Geothermal,Hydro,Wind,Solar PV,Units
1990,326,2477,,,GWh
1991,297,2770,,,GWh
1992,272,2796,,,GWh
1993,272,2993,,,GWh
1994,261,3068,,,GWh
1995,390,3163,,,GWh
1996,393,3354,,,GWh
1997,366,3259,,,GWh
1998,390,3274,,,GWh
1999,383,2435,,,GWh
2000,429,1325,,,GWh
2001,480,2403,,,GWh
2002,386,3119,,,GWh
2003,498,3433,,,GWh
2004,987,3169,,,GWh
2005,1002,3039,,,GWh
2006,1046,3025,,,GWh
2007,989,3592,,,GWh
2008,1039,3267,,,GWh
2009,1293,2160,7,,GWh
2010,1057,3224,17,3,GWh
2011,1444,3183,18,6,GWh
2012,1516,3977,14,12,GWh
2013,1781,4386,15,27,GWh
2014,2917,3411,17,49,GWh
2015,4521,3464,60,50,GWh
2016,4484,3960,56,60,GWh
2017,4756,2777,61,73,GWh
2018,5128,3986,375,90,GWh
2019,5235,3205,1563,92,GWh
2020,5060,4233,1331,88,GWh
2021,5037,3675,1985,167,GWh
2022,5518,3040,2143,384,GWh
2023,6032,2667,2008,492,GWh
