Source: IEA Renewables Information https://www.iea.org/data-and-statistics/data-product/renewables-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Hydro,Solar PV,Units
1990,341,,GWh
1991,336,,GWh
1992,335,,GWh
1993,383,,GWh
1994,389,,GWh
1995,411,,GWh
1996,442,,GWh
1997,489,,GWh
1998,511,,GWh
1999,515,,GWh
2000,540,,GWh
2001,564,,GWh
2002,535,,GWh
2003,612,,GWh
2004,637,,GWh
2005,648,,GWh
2006,638,,GWh
2007,719,,GWh
2008,700,,GWh
2009,740,,GWh
2010,711,,GWh
2011,690,,GWh
2012,755,,GWh
2013,809,,GWh
2014,884,,GWh
2015,936,,GWh
2016,647,,GWh
2017,789,0,GWh
2018,971,15,GWh
2019,890,32,GWh
2020,818,34,GWh
2021,767,36,GWh
2022,822,53,GWh
