Source: IEA Renewables Information https://www.iea.org/data-and-statistics/data-product/renewables-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Hydro,Solar PV,Units
1990,769,,GWh
1991,829,,GWh
1992,890,,GWh
1993,1012,,GWh
1994,1052,,GWh
1995,1092,,GWh
1996,1165,,GWh
1997,1253,,GWh
1998,1268,,GWh
1999,1377,,GWh
2000,1551,,GWh
2001,1546,1,GWh
2002,1668,2,GWh
2003,1752,2,GWh
2004,1888,3,GWh
2005,1839,4,GWh
2006,1161,8,GWh
2007,1398,11,GWh
2008,1631,17,GWh
2009,1396,21,GWh
2010,1485,22,GWh
2011,1531,24,GWh
2012,2453,25,GWh
2013,2865,27,GWh
2014,2874,29,GWh
2015,3092,32,GWh
2016,3303,39,GWh
2017,3442,62,GWh
2018,3640,71,GWh
2019,4036,119,GWh
2020,4081,129,GWh
2021,4640,140,GWh
2022,4978,147,GWh
