Source: IEA Renewables Information https://www.iea.org/data-and-statistics/data-product/renewables-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Hydro,Solar PV,Units
1990,1549,,GWh
1991,1726,,GWh
1992,1650,,GWh
1993,1697,,GWh
1994,1499,,GWh
1995,1539,,GWh
1996,1748,,GWh
1997,1449,,GWh
1998,2078,,GWh
1999,2162,,GWh
2000,2135,,GWh
2001,2640,,GWh
2002,2720,,GWh
2003,2549,,GWh
2004,2011,,GWh
2005,1778,,GWh
2006,1436,,GWh
2007,2524,,GWh
2008,2649,,GWh
2009,2640,,GWh
2010,2701,,GWh
2011,1993,1,GWh
2012,1767,2,GWh
2013,1717,7,GWh
2014,2590,20,GWh
2015,2108,23,GWh
2016,2366,22,GWh
2017,2350,24,GWh
2018,2234,31,GWh
2019,2477,27,GWh
2020,3139,31,GWh
2021,3086,31,GWh
2022,2821,31,GWh
