Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Share of modern renewables,Units
1990,4.65,%
1991,4.83,%
1992,4.84,%
1993,4.95,%
1994,4.93,%
1995,4.92,%
1996,4.96,%
1997,4.68,%
1998,4.61,%
1999,3.87,%
2000,2.93,%
2001,3.82,%
2002,4.32,%
2003,4.38,%
2004,4.46,%
2005,4.24,%
2006,4.01,%
2007,4.47,%
2008,4.21,%
2009,3.44,%
2010,4.03,%
2011,4.12,%
2012,4.54,%
2013,4.88,%
2014,4.74,%
2015,5.14,%
2016,5.27,%
2017,4.76,%
2018,5.46,%
2019,5.59,%
2020,6.02,%
2021,5.94,%
