Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Share of modern renewables,Units
1990,16.82,%
1991,16.78,%
1992,17.55,%
1993,18.66,%
1994,30.12,%
1995,31.24,%
1996,30.98,%
1997,31.07,%
1998,32.09,%
1999,31.39,%
2000,30.23,%
2001,29.02,%
2002,36.27,%
2003,35.79,%
2004,36.23,%
2005,37.03,%
2006,39.24,%
2007,39.69,%
2008,42.51,%
2009,43.25,%
2010,29.45,%
2011,27.92,%
2012,26.82,%
2013,26.49,%
2014,26.52,%
2015,26.76,%
2016,25.59,%
2017,24.86,%
2018,31.07,%
2019,30.63,%
2020,31.23,%
2021,30.63,%
