Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Share of modern renewables,Units
1990,10.5,%
1991,10.73,%
1992,10.78,%
1993,10.74,%
1994,10.8,%
1995,10.82,%
1996,11.02,%
1997,22.04,%
1998,21.92,%
1999,22.15,%
2000,23.47,%
2001,24.13,%
2002,24.09,%
2003,24.13,%
2004,23.85,%
2005,23.56,%
2006,23.21,%
2007,23.06,%
2008,22.93,%
2009,22.95,%
2010,22.51,%
2011,22.5,%
2012,22.61,%
2013,22.78,%
2014,23.18,%
2015,23.1,%
2016,22.97,%
2017,22.91,%
2018,27.7,%
2019,28.3,%
2020,28.29,%
2021,38.82,%
