Source: IEA Sustainable Development Goal 7 https://www.iea.org/reports/tracking-sdg7-the-energy-progress-report-2022
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Share of modern renewables,Units
1990,17.95,%
1991,18.08,%
1992,18.04,%
1993,18.05,%
1994,18.31,%
1995,18,%
1996,17.94,%
1997,17.86,%
1998,18.12,%
1999,18.05,%
2000,17.74,%
2001,17.78,%
2002,17.79,%
2003,17.82,%
2004,17.23,%
2005,16.91,%
2006,16.73,%
2007,17.17,%
2008,17.22,%
2009,17.14,%
2010,16.99,%
2011,16.43,%
2012,15.84,%
2013,15.71,%
2014,15.96,%
2015,15.45,%
2016,15.29,%
2017,15.35,%
2018,15.19,%
2019,15.1,%
2020,15.32,%
2021,14.88,%
